"1-к квартира, 42 м², 18/20 эт.",31 марта 19:41,https://www.avito.ru/chelyabinsk/kvartiry/1-k_kvartira_42_m_1820_et._1849215458
"2-к квартира, 76 м², 3/9 эт.",31 марта 18:56,https://www.avito.ru/chelyabinsk/kvartiry/2-k_kvartira_76_m_39_et._1785209809
"Аэрозольный Антисептик ""qleu""",29 марта 22:11,https://www.avito.ru/chelyabinsk/remont_i_stroitelstvo/aerozolnyy_antiseptik_qleu_1915873958
Армейская мазь «Сокровище кожи» от псориаза,29 марта 17:09,https://www.avito.ru/chelyabinsk/krasota_i_zdorove/armeyskaya_maz_sokrovische_kozhi_ot_psoriaza_1879323308
Требуется технолог-конструктор на пр-во масок,31 марта 07:12,https://www.avito.ru/chelyabinsk/vakansii/trebuetsya_tehnolog-konstruktor_na_pr-vo_masok_1915137388
Автоматическая линия для производства масок,1 апреля 09:11,https://www.avito.ru/chelyabinsk/oborudovanie_dlya_biznesa/avtomaticheskaya_liniya_dlya_proizvodstva_masok_1907036420
"Муж на час. В масках Сантехники, электрики и др",1 апреля 08:06,https://www.avito.ru/chelyabinsk/predlozheniya_uslug/muzh_na_chas._v_maskah_santehniki_elektriki_i_dr_1056539217
Спандбонд для медицинских масок,31 марта 19:50,https://www.avito.ru/chelyabinsk/krasota_i_zdorove/spandbond_dlya_meditsinskih_masok_1896004010
Ткань для медицинских масок,31 марта 10:32,https://www.avito.ru/chelyabinsk/krasota_i_zdorove/tkan_dlya_meditsinskih_masok_1899146484
Салфетки гигиенические из нетканого материала,30 марта 09:34,https://www.avito.ru/chelyabinsk/krasota_i_zdorove/salfetki_gigienicheskie_iz_netkanogo_materiala_1886027666
Перчатки медицинские,29 марта 14:57,https://www.avito.ru/chelyabinsk/krasota_i_zdorove/perchatki_meditsinskie_1916068361
Компрессорный ингалятор NE-C28-RU,28 марта 19:47,https://www.avito.ru/chelyabinsk/krasota_i_zdorove/kompressornyy_ingalyator_ne-c28-ru_1875895268
