"1-к квартира, 42 м², 18/20 эт.",31 марта 19:41,https://www.avito.ru/chelyabinsk/kvartiry/1-k_kvartira_42_m_1820_et._1849215458
"2-к квартира, 76 м², 3/9 эт.",31 марта 18:56,https://www.avito.ru/chelyabinsk/kvartiry/2-k_kvartira_76_m_39_et._1785209809
"Аэрозольный Антисептик ""qleu""",29 марта 22:11,https://www.avito.ru/chelyabinsk/remont_i_stroitelstvo/aerozolnyy_antiseptik_qleu_1915873958
Армейская мазь «Сокровище кожи» от псориаза,29 марта 17:09,https://www.avito.ru/chelyabinsk/krasota_i_zdorove/armeyskaya_maz_sokrovische_kozhi_ot_psoriaza_1879323308?slocation=660710
Требуется технолог-конструктор на пр-во масок,31 марта 07:12,https://www.avito.ru/chelyabinsk/vakansii/trebuetsya_tehnolog-konstruktor_na_pr-vo_masok_1915137388
"Муж на час. В масках Сантехники, электрики и др",1 апреля 08:06,https://www.avito.ru/chelyabinsk/predlozheniya_uslug/muzh_na_chas._v_maskah_santehniki_elektriki_i_dr_1056539217
Спандбонд для медицинских масок,31 марта 19:50,https://www.avito.ru/chelyabinsk/krasota_i_zdorove/spandbond_dlya_meditsinskih_masok_1896004010
Латексные Хирургические перчатки,31 марта 15:04,https://www.avito.ru/miass/krasota_i_zdorove/lateksnye_hirurgicheskie_perchatki_1905697175?slocation=660710
Станок для Изготовление масок медицинских,31 марта 11:12,https://www.avito.ru/magnitogorsk/oborudovanie_dlya_biznesa/stanok_dlya_izgotovlenie_masok_meditsinskih_1888038009
Ткань для медицинских масок,31 марта 10:32,https://www.avito.ru/chelyabinsk/krasota_i_zdorove/tkan_dlya_meditsinskih_masok_1899146484?slocation=660710
Ингалятор Omron compair PRO NEC 29-E,30 марта 20:26,https://www.avito.ru/magnitogorsk/krasota_i_zdorove/ingalyator_omron_compair_pro_nec_29-e_1819871601
Салфетки гигиенические из нетканого материала,30 марта 09:34,https://www.avito.ru/chelyabinsk/krasota_i_zdorove/salfetki_gigienicheskie_iz_netkanogo_materiala_1886027666?slocation=660710
Ремонт компьютеров,30 марта 09:28,https://www.avito.ru/magnitogorsk/predlozheniya_uslug/remont_kompyuterov_1911056972
Небулайзер (ингалятор) Philips,29 марта 23:18,https://www.avito.ru/zlatoust/krasota_i_zdorove/nebulayzer_ingalyator_philips_1867466917
Перчатки медицинские,29 марта 14:57,https://www.avito.ru/chelyabinsk/krasota_i_zdorove/perchatki_meditsinskie_1916068361?slocation=660710
Помощь сантехника в период карантина,29 марта 08:43,https://www.avito.ru/zlatoust/predlozheniya_uslug/pomosch_santehnika_v_period_karantina_1889041580
Компрессорный ингалятор NE-C28-RU,28 марта 19:47,https://www.avito.ru/chelyabinsk/krasota_i_zdorove/kompressornyy_ingalyator_ne-c28-ru_1875895268
